count_positive,posterior_prob_positive,posterior_prob_negative
2774,0.5548,0.44520000000000004
0,0,1
4999,0.9998,1.9999999999997797e-4
0,0,1
0,0,1
3234,0.6468,0.35319999999999996
0,0,1
4715,0.943,0.05700000000000005
4999,0.9998,1.9999999999997797e-4
0,0,1
5000,1,0
4957,0.9914,0.008600000000000052
239,0.0478,0.9522
