type,subject,tertile,est,ll,ul
bayes,math,1,0.053519403931870733,-0.33228904153994504,0.43933097947256844
bayes,math,2,5.798415401145899e-4,-0.05853576765591937,0.059693620746905825
bayes,math,3,-0.06966396373578826,-0.13706755002703241,-0.002265847904201237
bayes,rla,1,0.06419632024237967,-0.263347692844645,0.3917423424217873
bayes,rla,2,-0.02808126545901535,-0.07860719103208083,0.022442294454212253
bayes,rla,3,-0.1514355907023377,-0.20877671531045436,-0.09410189084748424
bayes,math,1_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,math,1_2,0.2752671490019758,0.03128372072270306,0.54036013452143306
bayes,math,1_3,-0.03620278514180879,-0.29563605342229926,0.2127659817045118
bayes,math,12_1,0.02779307294864913,-0.2336801311823389,0.29871303003660793
bayes,math,12_2,0.1521172601000193,0.0030218846218105773,0.30825917533680036
bayes,math,12_3,0.16070532729870285,0.06100454026676833,0.2617211857022615
bayes,math,13_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,math,13_2,0.3476730636488306,0.035758962389157094,0.6871775029530864
bayes,math,13_3,-0.0016384200145333786,-0.11589911416261273,0.1126732664230869
bayes,math,22_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,math,22_2,-0.01964798169139501,-0.31262398393618,0.25496824366310744
bayes,math,22_3,-0.10826713843002297,-0.375065555749637,0.1291148489535696
bayes,math,34_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,math,34_2,-0.023872044358304926,-0.4243500821029088,0.36215045518816125
bayes,math,34_3,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,math,37_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,math,37_2,-0.17913130357343554,-0.3271895910750708,-0.036442248205808485
bayes,math,37_3,-0.07486318218085058,-0.3244774507454953,0.1566460185452789
bayes,math,45_2,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,math,45_3,-0.16051514281408527,-0.384640716498753,0.043148803007767376
bayes,math,48_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,math,48_2,-0.14639237386256881,-0.32729508823002834,0.021913547822280367
bayes,math,48_3,-0.11198407190948385,-0.23513518419572824,0.005719012210116249
bayes,rla,1_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,rla,1_2,0.2752671490019758,0.03128372072270306,0.54036013452143306
bayes,rla,1_3,-0.03620278514180879,-0.29563605342229926,0.2127659817045118
bayes,rla,12_1,0.02779307294864913,-0.2336801311823389,0.29871303003660793
bayes,rla,12_2,0.1521172601000193,0.0030218846218105773,0.30825917533680036
bayes,rla,12_3,0.16070532729870285,0.06100454026676833,0.2617211857022615
bayes,rla,13_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,rla,13_2,0.3476730636488306,0.035758962389157094,0.6871775029530864
bayes,rla,13_3,-0.0016384200145333786,-0.11589911416261273,0.1126732664230869
bayes,rla,22_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,rla,22_2,-0.01964798169139501,-0.31262398393618,0.25496824366310744
bayes,rla,22_3,-0.10826713843002297,-0.375065555749637,0.1291148489535696
bayes,rla,34_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,rla,34_2,-0.023872044358304926,-0.4243500821029088,0.36215045518816125
bayes,rla,34_3,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,rla,37_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,rla,37_2,-0.17913130357343554,-0.3271895910750708,-0.036442248205808485
bayes,rla,37_3,-0.07486318218085058,-0.3244774507454953,0.1566460185452789
bayes,rla,45_2,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,rla,45_3,-0.16051514281408527,-0.384640716498753,0.043148803007767376
bayes,rla,48_1,-8.223535124012097e-18,-0.39585416372662624,0.39585416372662513
bayes,rla,48_2,-0.14639237386256881,-0.32729508823002834,0.021913547822280367
bayes,rla,48_3,-0.11198407190948385,-0.23513518419572824,0.005719012210116249
