type,subject,state,est,ll,ul
bayes,math,99,0.013955496747004774,-0.03587912536663311,0.06379018124827357
bayes,math,1,0.12399475358028385,-0.04585789274095657,0.3125985863296597
bayes,math,12,0.181735752954719,0.10342060873670482,0.26116811354224667
bayes,math,13,-0.06362708518771973,-0.16369752066457297,0.03486334130423523
bayes,math,22,-0.014711231178051098,-0.24542695518352398,0.20986321907675595
bayes,math,34,-0.1205242300950597,-0.32921994793170434,0.06358541513103505
bayes,math,37,-0.09298747470022357,-0.2150315344830487,0.024856443254329418
bayes,math,45,-0.17793110905197326,-0.3960851835092636,0.010753472531294187
bayes,math,48,-0.09008694066107369,-0.20355697918348187,0.020170975196377207
bayes,math,NA,5.67300999445595,5.532366520809266,5.813415434491913
bayes,math,NA,-1.1644161345896207,-1.9868089024248206,-0.3420250750460567
bayes,math,NA,2.8553842185840423,1.957774362892103,3.7529952416540637
bayes,math,NA,-0.9703225516792567,-1.1359314828382892,-0.8047057652058932
bayes,math,NA,-2.0263717644871515,-2.194648263500329,-1.858046797879758
bayes,math,NA,-0.2817880509660531,-0.3506755244808051,-0.21290166200393215
bayes,math,NA,0.5790329441368145,0.10739707059056955,1.0506607832202597
bayes,math,NA,0.2862874801035069,-0.0431529886468958,0.615738087612735
bayes,math,NA,0.12925626859558714,-0.020555540244978195,0.2790708440974821
bayes,math,NA,-0.05818509515549424,-0.1272155750463359,0.010839760605093354
bayes,math,NA,2.0902338428161804,1.758097123840957,2.422377321819545
bayes,math,NA,-0.9164961091169199,-1.1860557112126398,-0.646937345261928
bayes,math,NA,0.01394198105612764,-0.2899170833719821,0.31779756613856114
bayes,rla,99,0.0078119920861678335,-0.033839603142523024,0.04946345765479858
bayes,rla,1,0.03420647283996765,-0.09102826999591584,0.16640604673990467
bayes,rla,12,0.05481588809783963,-0.008000885138914764,0.11861011447605622
bayes,rla,13,0.006874108374710094,-0.07389858224711802,0.08795964088759271
bayes,rla,22,0.004094052547013833,-0.15382408534685926,0.16366097891871592
bayes,rla,34,-0.026586452845226528,-0.1670226684373442,0.10718932425815211
bayes,rla,37,0.07651377846421568,-0.018355568147831715,0.17660331073905164
bayes,rla,45,0.01732007356208339,-0.11545028366510422,0.15428943526193606
bayes,rla,48,-0.12516785787181914,-0.20923181710522998,-0.043854292348164466
bayes,rla,NA,5.809663801950634,5.682679993870259,5.936944831813479
bayes,rla,NA,-1.7020251336274481,-2.410198985324371,-0.9938516368583271
bayes,rla,NA,2.6942257731964268,1.9361170158143775,3.4523558118689683
bayes,rla,NA,-1.5964495285516223,-1.7348915303690746,-1.457994036744884
bayes,rla,NA,-2.247630945099173,-2.39713460426111,-2.0981163613086014
bayes,rla,NA,0.09210787304403731,0.03453514530941432,0.14967703217852094
bayes,rla,NA,-1.0665832262313353,-1.4543413989735812,-0.6788249391798099
bayes,rla,NA,0.8756330678096066,0.5938684579086759,1.1573936221596541
bayes,rla,NA,0.19858640901803165,0.07038920599701827,0.3267807600718604
bayes,rla,NA,-0.5725613349395355,-0.6310236255516043,-0.5141024272162553
bayes,rla,NA,1.7350459864695384,1.4563276400624077,2.0137526115188664
bayes,rla,NA,-0.03920548720588224,-0.26028133482138666,0.18187083928982592
bayes,rla,NA,0.08362676224018714,-0.1653417696369539,0.3325957909223436
