type,subject,state,est,ll,ul
bayes,math,99,-0.0012844242091519424,-0.0077727280386520065,0.005203886610698975
bayes,math,1,-0.03557682094877798,-0.08494431457747602,0.013699870387967425
bayes,math,5,-1.7613013903851018e-4,-0.040541419027375084,0.04018894375437971
bayes,math,9,-0.013771261312882635,-0.0783327812374073,0.05068826695117163
bayes,math,10,0.0022204748989838375,-0.08401199722192072,0.08851010230998602
bayes,math,11,0.09149154254142013,-0.03662667491132074,0.23326511578200515
bayes,math,12,0.027935692531520617,0.005141117611672326,0.0507327891654077
bayes,math,13,0.07381278519334686,0.05009280870885049,0.09754097174822006
bayes,math,17,-0.002328349888962818,-0.026203592488082728,0.02154649384830053
bayes,math,18,0.0027804809624804535,-0.016312706766377104,0.021873882006239662
bayes,math,22,0.0055658119412951,-0.018600457509378047,0.02973266894306472
bayes,math,23,-0.051457661272591236,-0.1053428965264345,0.0022442323937255145
bayes,math,24,0.009700439501745626,-0.03025460933402997,0.049665819753358174
bayes,math,25,-0.035855957699731295,-0.09692024231791475,0.02499754503039972
bayes,math,26,-0.0020987239488898294,-0.043929293276546245,0.03972894072640333
bayes,math,28,0.057160415116989334,0.022227331303831286,0.09212644674116588
bayes,math,29,-1.0579416398444681e-4,-0.03564677105754544,0.03543510207291413
bayes,math,33,-0.008233971883844187,-0.05725463697099885,0.04076819190071221
bayes,math,34,-0.002509328520446551,-0.05194729241428368,0.04692295202457341
bayes,math,36,-0.09914971140153774,-0.15134178401458034,-0.04728625590866754
bayes,math,37,-0.031626627871447065,-0.05386995433648891,-0.009385774306549365
bayes,math,39,0.0035401356273262598,-0.02657686596905524,0.03365848422484888
bayes,math,42,-0.029506177041380255,-0.055022989565430634,-0.003993450896591261
bayes,math,44,0.003051371172551452,-0.06623392838199875,0.07236830708214115
bayes,math,45,-0.06614796622384372,-0.09859132345385518,-0.03373344184946066
bayes,math,48,-0.005932174293773895,-0.026491114853931942,0.014626552146908351
bayes,math,50,-0.15298727144030208,-0.21443353037164578,-0.09259482479155388
bayes,math,51,0.006045108235482832,-0.03163180565997518,0.043726464271616666
bayes,math,54,0.1247449680238221,0.04852429958907358,0.20307593622535888
bayes,rla,99,4.348433570212159e-4,-0.005219293710422602,0.0060890031321134885
bayes,rla,1,-0.1214201235651372,-0.16550897742743126,-0.07742204562748
bayes,rla,5,3.49246387597544e-4,-0.03502283641341627,0.035721381771106515
bayes,rla,9,4.260472977170068e-4,-0.05560447477155314,0.05645705710759153
bayes,rla,10,0.0021545415754240303,-0.07007396208773643,0.0743909174543203
bayes,rla,11,0.030516923469618696,-0.06814412758337467,0.1298203879503985
bayes,rla,12,0.003143993162295675,-0.016628718736701645,0.02291674261100497
bayes,rla,13,0.04010042095532937,0.018673298980930175,0.06152832624946817
bayes,rla,17,-0.0013116372443277334,-0.02300560424644635,0.020382302416185483
bayes,rla,18,0.0010915102271158695,-0.01624731257622906,0.018430342494451878
bayes,rla,22,0.02586057748867749,0.0039004504346550357,0.04782127911159013
bayes,rla,23,-0.0292889406246709,-0.07676594329804985,0.018171980779750477
bayes,rla,24,0.00932780535561568,-0.02654045138137935,0.04519755614674694
bayes,rla,25,2.3350559365710468e-4,-0.053145288405412036,0.0536125296432504
bayes,rla,26,-0.0013837216247568921,-0.03886796340382757,0.036100254843556126
bayes,rla,28,0.037890524303025704,0.006410219974164596,0.0693745625849428
bayes,rla,29,2.0001932604290376e-4,-0.03031594481531921,0.030715999990383634
bayes,rla,33,0.01579686233249666,-0.02809204100059585,0.05969178754467116
bayes,rla,34,0.005182331034556,-0.03868205652074342,0.0490486532302794
bayes,rla,36,-0.04857945631258773,-0.09410028740289268,-0.003083025405618341
bayes,rla,37,0.0035262656042730233,-0.016678353491371062,0.023730926152417897
bayes,rla,39,0.0016457756233143365,-0.02546842292522265,0.028760057575758228
bayes,rla,42,-0.0045777346427346086,-0.027730883409393954,0.01857532583649478
bayes,rla,44,0.0023695650547083387,-0.05774453173761862,0.062487252398713125
bayes,rla,45,-0.031843946718680086,-0.06111685534026917,-0.0025732859365773593
bayes,rla,48,-0.01882234554762183,-0.03523912356133459,-0.002405687812226775
bayes,rla,50,-0.06311762529298447,-0.11522030399380373,-0.011078109075257317
bayes,rla,51,8.359606823913661e-5,-0.019919442087902143,0.020086639656595514
bayes,rla,54,0.10951013465160472,0.0492882633187057,0.17003281033721007
