type,subject,tertile,est,ll,ul
bayes,math,1,0.004304669236055907,-0.006113747638934744,0.014723090209946405
bayes,math,2,0.018996954850081606,0.008144889067557712,0.029849119421607655
bayes,math,3,0.025591066193818433,0.009724946678741608,0.04145738316705658
bayes,rla,1,-0.0065411727713142204,-0.015622452811272917,0.0025401425929734408
bayes,rla,2,-0.02026244231009159,-0.029572732622564962,-0.010952054973708329
bayes,rla,3,-0.013473620726320542,-0.026970057020561808,2.303935166918e-5
bayes,math,1_1,-0.08638817943963358,-0.14181696381122938,-0.031013833309735585
bayes,math,1_2,0.04005044273372177,-0.06055692429070396,0.1409418842799307
bayes,math,1_3,0.13339108717166437,-0.020018456642537104,0.2917913152936307
bayes,math,10_2,-0.016808584292867884,-0.12946808081301528,0.09566322058434483
bayes,math,10_3,0.023898071740503155,-0.09529194158691165,0.14343760223066282
bayes,math,11_2,0.12519093085740082,-0.02964815685968135,0.2849610191964149
bayes,math,12_1,0.018666707240141633,-0.012872138608050065,0.050206664740023235
bayes,math,12_2,-8.10266203582129e-4,-0.039003497209403604,0.03738411081138595
bayes,math,12_3,0.07594406250401405,0.032343948879762587,0.1195620371071535
bayes,math,13_1,0.05530170224219497,0.029420371539203703,0.08118396333098704
bayes,math,13_2,0.04394132297146266,-0.028784464874985767,0.11676605684709827
bayes,math,13_3,0.2253741200554015,0.1412468386818321,0.3102029863388077
bayes,math,17_1,-0.014440670891147978,-0.06764743965631974,0.03875823751475889
bayes,math,17_2,0.014575245060760272,-0.017393858367083202,0.04654495388872919
bayes,math,17_3,-0.019324597802407608,-0.05668701430707006,0.018035708619118802
bayes,math,18_1,-0.044959705973823774,-0.10239398686720477,0.01243981677228341
bayes,math,18_2,5.224735871805655e-4,-0.025253838804878883,0.026298680660906952
bayes,math,18_3,0.015054216876224399,-0.012202874344897393,0.0423116474221829
bayes,math,22_1,0.011437733992160087,-0.01776613635907639,0.040642102480335
bayes,math,22_2,0.0029993811163023325,-0.03438912481634625,0.04038854247009525
bayes,math,22_3,-0.005230391832637166,-0.06554198209989565,0.05507747728452834
bayes,math,23_1,-0.07282129249779687,-0.15594139421689643,0.010039047732264331
bayes,math,23_2,-0.04131923461373317,-0.10760655449013848,0.024903602888363876
bayes,math,23_3,1.651444492018743e-17,-0.19314609952880513,0.19314609952880557
bayes,math,24_2,-0.07350575550831513,-0.15261873645438329,0.005376980546332183
bayes,math,24_3,0.058086167120453336,0.01011268656726924,0.10607861829781907
bayes,math,25_3,-0.04072198648144727,-0.10629486906518251,0.02479764054101165
bayes,math,26_1,0.03699488212524716,-0.05205640394824674,0.12621487080554933
bayes,math,26_2,-0.021284463715332016,-0.07212006583256964,0.029546575507076844
bayes,math,26_3,0.015636947813548775,-0.05628883655564232,0.08759169857694231
bayes,math,28_1,0.016481759734387865,-0.02245127252213571,0.05542073082003849
bayes,math,28_2,0.18670209629510415,0.1183494017610658,0.2553239254313903
bayes,math,28_3,1.651444492018743e-17,-0.19314609952880513,0.19314609952880557
bayes,math,29_1,-0.0015269293164187818,-0.043592518540299934,0.04054128423312998
bayes,math,29_2,0.059583267705109653,-0.01388001902756602,0.13316697222805124
bayes,math,29_3,-0.04570529156569789,-0.12112398386143253,0.02961492324555227
bayes,math,33_2,0.01613245827272788,-0.1054068284458151,0.13793600321879929
bayes,math,33_3,-0.005403317750648452,-0.0584952309612848,0.04768577038237397
bayes,math,34_1,-2.7727342546979267e-4,-0.12423133099464684,0.12367199999291076
bayes,math,34_3,9.734024511771098e-4,-0.056223027199161266,0.05817025496738309
bayes,math,36_1,1.651444492018743e-17,-0.19314609952880513,0.19314609952880557
bayes,math,36_2,-0.04712607337274195,-0.13552387647131167,0.04105707956316983
bayes,math,36_3,-0.11637668036212691,-0.17907668562312554,-0.0538005553865364
bayes,math,37_1,-0.014333633210382862,-0.042254514084989765,0.013586708574015782
bayes,math,37_2,-0.04869914057599521,-0.0883271666567783,-0.009080708258593265
bayes,math,37_3,-0.06951298021028614,-0.12932295431374602,-0.009769418571304728
bayes,math,39_1,-0.0018562612521935092,-0.09827092070163568,0.09454336919472471
bayes,math,39_2,-0.02685448078885413,-0.06965339334236872,0.01593879833929826
bayes,math,39_3,0.030879787783992044,-0.010121332824785388,0.0718859974710609
bayes,math,42_1,1.651444492018743e-17,-0.19314609952880513,0.19314609952880557
bayes,math,42_2,-0.05007157286953851,-0.08438434146574397,-0.015762783989773488
bayes,math,42_3,-0.004925386099991606,-0.04124511444417896,0.031393789911061155
bayes,math,44_3,0.005217168304492112,-0.06777625816250711,0.0782210956386722
bayes,math,45_1,-0.06303012966318984,-0.1027746328299674,-0.02329590726908418
bayes,math,45_2,-0.03815205614635535,-0.10271267971913925,0.026347006086158163
bayes,math,45_3,-0.09364905914644496,-0.17482446613883093,-0.012773397473835857
bayes,math,48_1,0.001186354214196044,-0.029697372979245462,0.032069957352777706
